guild_id,guild_name,role_id,role_name,role_color,role_position,is_bot_role,is_default,member_count,created_at
480695542155051010,The Faceless,1392210986387116173,ASL Class,#000000,28,False,False,0,2025-07-08T18:29:25.184000+00:00
480695542155051010,The Faceless,1392209677282185446,Animation Dance,#000000,48,False,False,0,2025-07-08T18:24:13.069000+00:00
480695542155051010,The Faceless,1392212893100933352,Art Classes,#000000,19,False,False,0,2025-07-08T18:36:59.780000+00:00
480695542155051010,The Faceless,1392210116924674212,Bachata,#000000,41,False,False,0,2025-07-08T18:25:57.888000+00:00
480695542155051010,The Faceless,1392213330457923594,Beyond Dance,#000000,17,False,False,0,2025-07-08T18:38:44.054000+00:00
480695542155051010,The Faceless,1392210837330067576,Blender/Unity,#000000,30,False,False,0,2025-07-08T18:28:49.646000+00:00
480695542155051010,The Faceless,1392210704140079285,Breakin',#000000,32,False,False,0,2025-07-08T18:28:17.891000+00:00
480695542155051010,The Faceless,1392210886487445655,Coding,#000000,29,False,False,0,2025-07-08T18:29:01.366000+00:00
480695542155051010,The Faceless,1210262400985727066,Community Manager,#000000,74,False,False,1,2024-02-22T16:30:41.983000+00:00
480695542155051010,The Faceless,1163047310889062420,DJ,#708863,87,False,False,280,2023-10-15T09:34:47.290000+00:00
480695542155051010,The Faceless,1392210777888526366,DJ Class,#000000,31,False,False,20,2025-07-08T18:28:35.474000+00:00
480695542155051010,The Faceless,726369852616474665,Dancer,#5a6083,86,False,False,756,2020-06-27T09:34:28.163000+00:00
480695542155051010,The Faceless,1392210454822260737,Esoterics,#000000,36,False,False,0,2025-07-08T18:27:18.449000+00:00
480695542155051010,The Faceless,1392213369284591787,Flow Arts,#000000,16,False,False,0,2025-07-08T18:38:53.311000+00:00
480695542155051010,The Faceless,1392213565519167548,Freestyle Dance,#000000,15,False,False,0,2025-07-08T18:39:40.097000+00:00
480695542155051010,The Faceless,1392211149595869254,GOGO Dance,#000000,27,False,False,0,2025-07-08T18:30:04.096000+00:00
480695542155051010,The Faceless,1392209466362957845,Hip Hop,#000000,51,False,False,0,2025-07-08T18:23:22.782000+00:00
480695542155051010,The Faceless,1392209391872250027,House Dance,#000000,52,False,False,0,2025-07-08T18:23:05.022000+00:00
480695542155051010,The Faceless,1392210393224450139,LOFT,#000000,37,False,False,0,2025-07-08T18:27:03.763000+00:00
480695542155051010,The Faceless,1392209609053179925,Lockin',#000000,49,False,False,0,2025-07-08T18:23:56.802000+00:00
480695542155051010,The Faceless,1392213840225112155,Music Production,#000000,13,False,False,0,2025-07-08T18:40:45.592000+00:00
480695542155051010,The Faceless,1392211256399888554,Particle Dancing,#000000,25,False,False,0,2025-07-08T18:30:29.560000+00:00
480695542155051010,The Faceless,1392210170439929877,Photography,#000000,40,False,False,0,2025-07-08T18:26:10.647000+00:00
480695542155051010,The Faceless,1392214485250347158,Photography Competition,#000000,7,False,False,0,2025-07-08T18:43:19.378000+00:00
480695542155051010,The Faceless,1392211714308837507,Podcasts,#000000,23,False,False,0,2025-07-08T18:32:18.734000+00:00
480695542155051010,The Faceless,1392209545522057298,Poppin',#000000,50,False,False,0,2025-07-08T18:23:41.655000+00:00
480695542155051010,The Faceless,1392209818311196803,Robot Dance,#000000,46,False,False,0,2025-07-08T18:24:46.693000+00:00
480695542155051010,The Faceless,1392214221592330290,Scare Acting,#000000,9,False,False,0,2025-07-08T18:42:16.517000+00:00
480695542155051010,The Faceless,1392213888522518670,Sociology,#000000,12,False,False,0,2025-07-08T18:40:57.107000+00:00
480695542155051010,The Faceless,1392210291437080646,VIBE,#000000,39,False,False,0,2025-07-08T18:26:39.495000+00:00
480695542155051010,The Faceless,1392210510971277453,Vocal Class,#000000,35,False,False,0,2025-07-08T18:27:31.836000+00:00
480695542155051010,The Faceless,1392210075950649415,Waltz,#000000,42,False,False,0,2025-07-08T18:25:48.119000+00:00
480695542155051010,The Faceless,1392210566407524382,YOGA,#000000,34,False,False,0,2025-07-08T18:27:45.053000+00:00
