lookup_name,original_name,user_id
theblindprophet,theblindprophet,428436921761398784
basic_bit,basic_bit,211750261922725888
basic,BASIC,211750261922725888
piratecaptain_thunderhook,piratecaptain_thunderhook,155558764009881600
thunderhook,ThunderHook,155558764009881600
thunderhook,ThunderHook,155558764009881600
meeting notes,Meeting Notes,1278729036528619633
keeper of voices,Keeper of Voices,1278729036528619633
keeper of voices,Keeper of Voices,1278729036528619633
simpostor.,simpostor.,472481275027128324
~ 𝑴𝒊𝒔𝒔.𝑯 ~,~ 𝑴𝒊𝒔𝒔.𝑯 ~,472481275027128324
alexavrgirl,alexavrgirl,607300906974707733
"alexa, vr girl!","Alexa, VR Girl!",607300906974707733
oatsbr0ther,oatsbr0ther,804230451157925920
oats,Oats,804230451157925920
jayjoneslive2050,jayjoneslive2050,975465213392461895
jayjoneslive,jayjoneslive,975465213392461895
riotzy,riotzy,187301662518411264
riot,riot,187301662518411264
djmurdokes,djmurdokes,191001858486042624
djmurdokes,DJMurdokes,191001858486042624
tom098012,tom098012,1343176039492354121
tom,tom,1343176039492354121
jforceg,jforceg,430929413157289994
sigaretto (jforceg),Sigaretto (JforceG),430929413157289994
saltypancake101,saltypancake101,272473440974536705
saltypancake,Saltypancake,272473440974536705
viscositystv,viscositystv,1067858726876360725
viscosity,Viscosity,1067858726876360725
wolffe,wolffe,100629210992766976
winter wolffe,Winter Wolffe,100629210992766976
musicalstory,musicalstory,196593361916919808
musical story -> megaplex,Musical Story -> Megaplex,196593361916919808
kawaiidouchebag,kawaiidouchebag,133606365577871360
kawaii douchebag,Kawaii Douchebag,133606365577871360
justwik_,justwik_,178618867260588032
wik,Wik,178618867260588032
.sausau,.sausau,178459816224751616
sau,Sau,178459816224751616
misaki4352,misaki4352,1189410645112795176
misaki (みさき),Misaki (みさき),1189410645112795176
sleepy.dreamer.vrc,sleepy.dreamer.vrc,1237455192098865213
sleepy dreamer,Sleepy Dreamer,1237455192098865213
mitey,mitey,103767981187694592
mitey,Mitey,103767981187694592
gahooligan,gahooligan,159742741205614592
gahooligan,Gahooligan,159742741205614592
nepvr,nepvr,433620939268292608
nep ღ,nep ღ,433620939268292608
_kitrion_,_kitrion_,1206819550465757278
kitrion,Kitrion,1206819550465757278
hanahou808,hanahou808,366896373733392384
hanahou808,Hanahou808,366896373733392384
snnarra,snnarra,444544868430381057
narra,Narra,444544868430381057
rayumor,rayumor,274495577020956672
rayumor,Rayumor,274495577020956672
kevinmodder.,kevinmodder.,1234896567006138555
pixelmodder,Pixelmodder,1234896567006138555
marcosartorato,marcosartorato,421443419064238107
popn marco,Popn Marco,421443419064238107
vrpanda._,vrpanda._,240872661385740290
panda,Panda,240872661385740290
tolulopej,tolulopej,1389238057185837258
tolulope,Tolulope,1389238057185837258
walterh,walterh,208814144466583553
walterh,WalterH,208814144466583553
.insert.,.insert.,142859968549224448
insert,insert,142859968549224448
red.riding.hood,red.riding.hood,182009410837544960
red riding hood,Red Riding Hood,182009410837544960
djgearbolt,djgearbolt,334527130631274496
dj gear bolt,DJ Gear Bolt,334527130631274496
cyto.kyn,cyto.kyn,700842313236217878
cytokyn,CYTOKYN,700842313236217878
brodokk,brodokk,786218839066017794
brodokk,Brodokk,786218839066017794
zajzoo,zajzoo,216432461087768576
zxjzxo,ZxjZxo,216432461087768576
marcmarc17,marcmarc17,765774198903275540
kittencake.,kittencake.,872230101822099506
kittencake,kittencake,872230101822099506
.637.,.637.,336275057347133442
𝓟𝓪𝓻𝓪𝓵𝓵𝓮𝓵,𝓟𝓪𝓻𝓪𝓵𝓵𝓮𝓵,336275057347133442
aerith_mew,aerith_mew,333363270519881729
༒ aerith ༒,༒ Aerith ༒,333363270519881729
smithbrown25,smithbrown25,1396001229292965908
smith brown,smith brown,1396001229292965908
wickedisgreat,wickedisgreat,708969410626584596
wickedisgood,WickedIsGood,708969410626584596
triggerhappy_78380,triggerhappy_78380,1377964318129262647
triggerhappy,triggerhappy,1377964318129262647
venixia,venixia,138815361733623808
venixia,Venixia,138815361733623808
frog1181,frog1181,768326686907170827
frog,FROG,768326686907170827
sharan_parkuaire,sharan_parkuaire,1205853993973317724
zainmane,zainmane,1205853993973317724
becaring,becaring,132290248582496257
phrog,phrog,132290248582496257
aizendove,aizendove,241263908571054080
aizendove,AizenDove,241263908571054080
cursed.silver,cursed.silver,105063134036791296
cursed,Cursed,105063134036791296
peachbight,peachbight,179358664052703232
peachbight,PeachBight,179358664052703232
tommytoosue,tommytoosue,1372709279332569120
tommytoosure,Tommytoosure,1372709279332569120
beruflower,beruflower,401161285666078720
beruflower,Beruflower,401161285666078720
gg4rr3tt,gg4rr3tt,939618981797572640
gg4rr3tt,GG4RR3TT,939618981797572640
